image,model,plate,detection_confidence,time_ms,detected,ocr_success
vehicle_60.jpg,YOLOv8 + EasyOCR,,0.9433123469352722,421.1468000000025,1,0
vehicle_61.jpg,YOLOv8 + EasyOCR,,0.85860276222229,459.5310999999924,1,0
vehicle_62.jpg,YOLOv8 + EasyOCR,,0.9245786666870117,421.9823999999903,1,0
vehicle_63.jpg,YOLOv8 + EasyOCR,,0.9535164833068848,262.177400000013,1,0
vehicle_64.jpg,YOLOv8 + EasyOCR,,0.9591435194015503,266.5347999999881,1,0
vehicle_65.jpg,YOLOv8 + EasyOCR,,0.9393347501754761,377.59379999999965,1,0
vehicle_66.jpg,YOLOv8 + EasyOCR,,0.948191225528717,343.93259999998804,1,0
vehicle_67.jpg,YOLOv8 + EasyOCR,,0.9424413442611694,357.48119999999517,1,0
vehicle_68.jpg,YOLOv8 + EasyOCR,,0.9398161172866821,393.35080000000744,1,0
vehicle_69.jpg,YOLOv8 + EasyOCR,,0.9502159357070923,489.7459999999967,1,0
vehicle_7.jpg,YOLOv8 + EasyOCR,,0.941748857498169,367.61109999997643,1,0
vehicle_70.jpg,YOLOv8 + EasyOCR,,0.9439100623130798,422.2289999999873,1,0
vehicle_71.jpg,YOLOv8 + EasyOCR,,0.9491355419158936,255.03649999998856,1,0
vehicle_72.jpg,YOLOv8 + EasyOCR,,0.9440791606903076,422.73070000001667,1,0
vehicle_73.jpg,YOLOv8 + EasyOCR,,0.961118757724762,423.2810000000029,1,0
vehicle_74.jpg,YOLOv8 + EasyOCR,,0.9471308588981628,363.8362000000086,1,0
vehicle_75.jpg,YOLOv8 + EasyOCR,,0.9418046474456787,265.2217000000121,1,0
vehicle_8.jpg,YOLOv8 + EasyOCR,,0.600374698638916,393.0757999999912,1,0
vehicle_9.jpg,YOLOv8 + EasyOCR,,0.9259212613105774,353.49739999998064,1,0
vehicle_0.jpg,YOLO11 + EasyOCR,,0.9096022248268127,677.9805999999837,1,0
vehicle_1.jpg,YOLO11 + EasyOCR,,0.9222321510314941,430.7828000000029,1,0
vehicle_10.jpg,YOLO11 + EasyOCR,,0.9296662211418152,421.4070000000163,1,0
vehicle_11.jpg,YOLO11 + EasyOCR,,0.9263969659805298,299.4164000000126,1,0
vehicle_12.jpg,YOLO11 + EasyOCR,,0.9331141114234924,273.5064999999963,1,0
vehicle_13.jpg,YOLO11 + EasyOCR,,0.9226895570755005,465.0804999999991,1,0
vehicle_14.jpg,YOLO11 + EasyOCR,,0.910388171672821,491.67309999998565,1,0
vehicle_15.jpg,YOLO11 + EasyOCR,,0.8970012068748474,437.5354000000016,1,0
vehicle_16.jpg,YOLO11 + EasyOCR,,0.9248809218406677,415.98170000000323,1,0
vehicle_17.jpg,YOLO11 + EasyOCR,,0.9164499044418335,459.44369999998,1,0
vehicle_18.jpg,YOLO11 + EasyOCR,,0.9253120422363281,464.85210000000166,1,0
vehicle_19.jpg,YOLO11 + EasyOCR,,0.9277696013450623,378.93039999997313,1,0
vehicle_2.jpg,YOLO11 + EasyOCR,,0.925083577632904,401.7283999999961,1,0
vehicle_20.jpg,YOLO11 + EasyOCR,,0.9063692688941956,313.58859999997435,1,0
vehicle_21.jpg,YOLO11 + EasyOCR,,0.9248312711715698,403.0612999999903,1,0
vehicle_22.jpg,YOLO11 + EasyOCR,,0.9278483390808105,453.4027999999921,1,0
vehicle_23.jpg,YOLO11 + EasyOCR,,0.9298543930053711,443.22800000000484,1,0
vehicle_24.jpg,YOLO11 + EasyOCR,,0.8600443601608276,326.2077999999917,1,0
vehicle_25.jpg,YOLO11 + EasyOCR,,0.9328641295433044,441.0871000000043,1,0
vehicle_26.jpg,YOLO11 + EasyOCR,,0.8191143870353699,270.69160000002057,1,0
vehicle_27.jpg,YOLO11 + EasyOCR,,0.9330692291259766,371.1311000000137,1,0
vehicle_28.jpg,YOLO11 + EasyOCR,,0.9055721163749695,295.6734999999924,1,0
vehicle_29.jpg,YOLO11 + EasyOCR,,0.9351862072944641,311.11419999999157,1,0
vehicle_3.jpg,YOLO11 + EasyOCR,,0.9302738904953003,407.6332000000207,1,0
vehicle_30.jpg,YOLO11 + EasyOCR,,0.928574800491333,472.36129999998866,1,0
